INF,MEAN,SUP
1296.015506,1296.921757,1297.828009
1295.508366,1296.489721,1297.471075
1296.838765,1297.648108,1298.457451
1295.773342,1297.057301,1298.341261
1296.782180,1298.208509,1299.634838
1295.018783,1295.731702,1296.444621
1296.263650,1297.313427,1298.363204
1295.592278,1296.389334,1297.186390
1296.583296,1297.348366,1298.113436
1295.927230,1296.838148,1297.749066
1296.670776,1297.789242,1298.907708
1295.756886,1296.477100,1297.197314
1295.536592,1296.559678,1297.582764
1296.123229,1296.828725,1297.534221
1297.517453,1298.587870,1299.658287
1295.877752,1296.724562,1297.571371
1296.170270,1297.159288,1298.148305
1296.526573,1297.253126,1297.979679
1296.472072,1297.105101,1297.738129
1296.841169,1297.711631,1298.582092
1296.892443,1297.982748,1299.073052
1296.905898,1297.846761,1298.787624
1296.200212,1297.185191,1298.170169
1295.869138,1296.888194,1297.907250
1294.786126,1295.902447,1297.018767
1296.235275,1297.127525,1298.019775
1296.382816,1297.267189,1298.151561
1296.503374,1297.290544,1298.077714
1296.437684,1297.574553,1298.711422
1295.684024,1296.643118,1297.602212
1295.453405,1296.521957,1297.590508
1296.916679,1297.645381,1298.374084
1297.026900,1297.994171,1298.961443
1295.489898,1296.603902,1297.717906
1296.511879,1297.413726,1298.315573
1295.614123,1296.444387,1297.274651
1296.281702,1297.030948,1297.780194
1295.984795,1296.760064,1297.535332
1297.050670,1297.996999,1298.943327
1295.979075,1296.771165,1297.563256
1295.756628,1296.967868,1298.179109
1296.592864,1297.434177,1298.275491
1296.601115,1297.357829,1298.114544
1296.570057,1297.196665,1297.823273
1296.402904,1297.663704,1298.924503
1295.997365,1297.162933,1298.328501
1296.036353,1296.749894,1297.463436
1294.261546,1295.242055,1296.222564
1295.749868,1296.936750,1298.123631
1296.423028,1297.131832,1297.840637
1295.925021,1296.770145,1297.615268
1296.463542,1297.304301,1298.145060
1296.533332,1297.519851,1298.506371
1296.701100,1297.424988,1298.148876
1295.674499,1296.569126,1297.463753
1296.169972,1297.197470,1298.224967
1296.373613,1297.486776,1298.599938
1296.196041,1296.889702,1297.583363
1296.469061,1297.468774,1298.468487
1296.146893,1296.882337,1297.617781
1296.431989,1297.213851,1297.995713
1296.798155,1297.878246,1298.958337
1294.640306,1295.745981,1296.851655
1297.401358,1298.013151,1298.624944
1296.177124,1296.970258,1297.763392
1296.545825,1297.768391,1298.990956
1296.408637,1297.170970,1297.933302
1296.743535,1297.550605,1298.357676
1294.681411,1295.961507,1297.241603
1296.680447,1297.568531,1298.456615
1296.920689,1297.858091,1298.795492
1297.693516,1298.451173,1299.208830
1295.268472,1296.572951,1297.877430
1296.493674,1297.455738,1298.417802
1297.324238,1298.510713,1299.697188
1294.636654,1295.432279,1296.227904
1296.587239,1297.209054,1297.830869
1296.605240,1297.527370,1298.449500
1297.143642,1298.043122,1298.942602
1296.126268,1296.953209,1297.780150
1297.303140,1297.956467,1298.609793
1296.369842,1297.307697,1298.245553
1296.289680,1297.544935,1298.800189
1295.428602,1296.571659,1297.714715
1296.146746,1297.361051,1298.575356
1296.477208,1297.345099,1298.212991
1295.366086,1296.299483,1297.232881
1296.401471,1297.458129,1298.514788
1296.913943,1297.824667,1298.735390
1296.020269,1296.751985,1297.483701
1296.272562,1297.197641,1298.122720
1296.282478,1297.467354,1298.652230
1296.071876,1296.822896,1297.573916
1295.718312,1296.800778,1297.883244
1296.684765,1297.539877,1298.394990
1296.664777,1297.687582,1298.710387
1295.320489,1296.312507,1297.304524
1296.408591,1297.062004,1297.715416
1296.279469,1297.080879,1297.882288
1296.356955,1297.361520,1298.366084
1295.948455,1296.798269,1297.648083
1296.878121,1297.732548,1298.586975
1295.576772,1296.684263,1297.791755
1295.410254,1296.330758,1297.251262
1296.317639,1297.262035,1298.206430
1295.408918,1296.269272,1297.129627
1297.046085,1297.817906,1298.589726
